,compound,a,Tc,elements,composition,MagpieData minimum Number,MagpieData maximum Number,MagpieData range Number,MagpieData mean Number,MagpieData avg_dev Number,MagpieData mode Number,MagpieData minimum MendeleevNumber,MagpieData maximum MendeleevNumber,MagpieData range MendeleevNumber,MagpieData mean MendeleevNumber,MagpieData avg_dev MendeleevNumber,MagpieData mode MendeleevNumber,MagpieData minimum AtomicWeight,MagpieData maximum AtomicWeight,MagpieData range AtomicWeight,MagpieData mean AtomicWeight,MagpieData avg_dev AtomicWeight,MagpieData mode AtomicWeight,MagpieData minimum MeltingT,MagpieData maximum MeltingT,MagpieData range MeltingT,MagpieData mean MeltingT,MagpieData avg_dev MeltingT,MagpieData mode MeltingT,MagpieData minimum Column,MagpieData maximum Column,MagpieData range Column,MagpieData mean Column,MagpieData avg_dev Column,MagpieData mode Column,MagpieData minimum Row,MagpieData maximum Row,MagpieData range Row,MagpieData mean Row,MagpieData avg_dev Row,MagpieData mode Row,MagpieData minimum CovalentRadius,MagpieData maximum CovalentRadius,MagpieData range CovalentRadius,MagpieData mean CovalentRadius,MagpieData avg_dev CovalentRadius,MagpieData mode CovalentRadius,MagpieData minimum Electronegativity,MagpieData maximum Electronegativity,MagpieData range Electronegativity,MagpieData mean Electronegativity,MagpieData avg_dev Electronegativity,MagpieData mode Electronegativity,MagpieData minimum NsValence,MagpieData maximum NsValence,MagpieData range NsValence,MagpieData mean NsValence,MagpieData avg_dev NsValence,MagpieData mode NsValence,MagpieData minimum NpValence,MagpieData maximum NpValence,MagpieData range NpValence,MagpieData mean NpValence,MagpieData avg_dev NpValence,MagpieData mode NpValence,MagpieData minimum NdValence,MagpieData maximum NdValence,MagpieData range NdValence,MagpieData mean NdValence,MagpieData avg_dev NdValence,MagpieData mode NdValence,MagpieData minimum NfValence,MagpieData maximum NfValence,MagpieData range NfValence,MagpieData mean NfValence,MagpieData avg_dev NfValence,MagpieData mode NfValence,MagpieData minimum NValence,MagpieData maximum NValence,MagpieData range NValence,MagpieData mean NValence,MagpieData avg_dev NValence,MagpieData mode NValence,MagpieData minimum NsUnfilled,MagpieData maximum NsUnfilled,MagpieData range NsUnfilled,MagpieData mean NsUnfilled,MagpieData avg_dev NsUnfilled,MagpieData mode NsUnfilled,MagpieData minimum NpUnfilled,MagpieData maximum NpUnfilled,MagpieData range NpUnfilled,MagpieData mean NpUnfilled,MagpieData avg_dev NpUnfilled,MagpieData mode NpUnfilled,MagpieData minimum NdUnfilled,MagpieData maximum NdUnfilled,MagpieData range NdUnfilled,MagpieData mean NdUnfilled,MagpieData avg_dev NdUnfilled,MagpieData mode NdUnfilled,MagpieData minimum NfUnfilled,MagpieData maximum NfUnfilled,MagpieData range NfUnfilled,MagpieData mean NfUnfilled,MagpieData avg_dev NfUnfilled,MagpieData mode NfUnfilled,MagpieData minimum NUnfilled,MagpieData maximum NUnfilled,MagpieData range NUnfilled,MagpieData mean NUnfilled,MagpieData avg_dev NUnfilled,MagpieData mode NUnfilled,MagpieData minimum GSvolume_pa,MagpieData maximum GSvolume_pa,MagpieData range GSvolume_pa,MagpieData mean GSvolume_pa,MagpieData avg_dev GSvolume_pa,MagpieData mode GSvolume_pa,MagpieData minimum GSbandgap,MagpieData maximum GSbandgap,MagpieData range GSbandgap,MagpieData mean GSbandgap,MagpieData avg_dev GSbandgap,MagpieData mode GSbandgap,MagpieData minimum GSmagmom,MagpieData maximum GSmagmom,MagpieData range GSmagmom,MagpieData mean GSmagmom,MagpieData avg_dev GSmagmom,MagpieData mode GSmagmom,MagpieData minimum SpaceGroupNumber,MagpieData maximum SpaceGroupNumber,MagpieData range SpaceGroupNumber,MagpieData mean SpaceGroupNumber,MagpieData avg_dev SpaceGroupNumber,MagpieData mode SpaceGroupNumber
29,C1Ta0.4Nb0.6,4.504,9.4,Nb Ta C,C1 Ta0.4 Nb0.6,6.0,73.0,67.0,29.9,23.900000000000002,6.0,47.0,77.0,30.0,62.2,14.799999999999999,77.0,12.0107,180.94788,168.93718,70.06684,58.05614,12.0107,2750.0,3823.0,1073.0,3394.5,428.5,3823.0,5.0,14.0,9.0,9.5,4.5,14.0,2.0,6.0,4.0,3.7,1.7,2.0,76.0,170.0,94.0,121.19999999999999,45.2,76.0,1.5,2.55,1.0499999999999998,2.0549999999999997,0.4949999999999999,2.55,1.0,2.0,1.0,1.7,0.42000000000000004,2.0,0.0,2.0,2.0,1.0,1.0,2.0,0.0,4.0,4.0,1.8,1.8000000000000003,0.0,0.0,14.0,14.0,2.8000000000000003,4.4799999999999995,0.0,4.0,19.0,15.0,7.300000000000001,4.680000000000001,4.0,0.0,1.0,1.0,0.3,0.42,0.0,0.0,4.0,4.0,2.0,2.0,4.0,0.0,7.0,7.0,3.2,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,3.0,5.5,1.5,4.0,5.64,18.18,12.54,11.898,6.258,5.64,0.0,4.496,4.496,2.248,2.248,4.496,0.0,0.0,0.0,0.0,0.0,0.0,194.0,229.0,35.0,211.5,17.5,194.0
30,C1Ta0.5Nb0.5,4.505,11.1,Nb Ta C,C1 Ta0.5 Nb0.5,6.0,73.0,67.0,31.5,25.5,6.0,47.0,77.0,30.0,62.25,14.75,77.0,12.0107,180.94788,168.93718,74.468915,62.458215,12.0107,2750.0,3823.0,1073.0,3421.5,401.5,3823.0,5.0,14.0,9.0,9.5,4.5,14.0,2.0,6.0,4.0,3.75,1.75,2.0,76.0,170.0,94.0,121.5,45.5,76.0,1.5,2.55,1.0499999999999998,2.05,0.4999999999999999,2.55,1.0,2.0,1.0,1.75,0.375,2.0,0.0,2.0,2.0,1.0,1.0,2.0,0.0,4.0,4.0,1.75,1.75,0.0,0.0,14.0,14.0,3.5,5.25,0.0,4.0,19.0,15.0,8.0,5.5,4.0,0.0,1.0,1.0,0.25,0.375,0.0,0.0,4.0,4.0,2.0,2.0,4.0,0.0,7.0,7.0,3.25,3.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,3.0,5.5,1.5,4.0,5.64,18.18,12.54,11.895,6.255,5.64,0.0,4.496,4.496,2.248,2.248,4.496,0.0,0.0,0.0,0.0,0.0,0.0,194.0,229.0,35.0,211.5,17.5,194.0
31,C1Ta0.6Nb0.4,4.506,9.7,Nb Ta C,C1 Ta0.6 Nb0.4,6.0,73.0,67.0,33.1,27.099999999999998,6.0,47.0,77.0,30.0,62.3,14.7,77.0,12.0107,180.94788,168.93718,78.87098999999999,66.86029,12.0107,2750.0,3823.0,1073.0,3448.5,374.5,3823.0,5.0,14.0,9.0,9.5,4.5,14.0,2.0,6.0,4.0,3.8,1.8,2.0,76.0,170.0,94.0,121.80000000000001,45.8,76.0,1.5,2.55,1.0499999999999998,2.045,0.5049999999999999,2.55,1.0,2.0,1.0,1.8,0.32,2.0,0.0,2.0,2.0,1.0,1.0,2.0,0.0,4.0,4.0,1.7,1.7,0.0,0.0,14.0,14.0,4.2,5.88,0.0,4.0,19.0,15.0,8.7,6.18,4.0,0.0,1.0,1.0,0.2,0.32000000000000006,0.0,0.0,4.0,4.0,2.0,2.0,4.0,0.0,7.0,7.0,3.3000000000000003,3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,3.0,5.5,1.5,4.0,5.64,18.18,12.54,11.892,6.252000000000001,5.64,0.0,4.496,4.496,2.248,2.248,4.496,0.0,0.0,0.0,0.0,0.0,0.0,194.0,229.0,35.0,211.5,17.5,194.0
32,C1Ta0.75Nb0.25,4.5075,9.8,Nb Ta C,C1 Ta0.75 Nb0.25,6.0,73.0,67.0,35.5,29.5,6.0,47.0,77.0,30.0,62.375,14.625,77.0,12.0107,180.94788,168.93718,85.4741025,73.4634025,12.0107,2750.0,3823.0,1073.0,3489.0,334.0,3823.0,5.0,14.0,9.0,9.5,4.5,14.0,2.0,6.0,4.0,3.875,1.875,2.0,76.0,170.0,94.0,122.25,46.25,76.0,1.5,2.55,1.0499999999999998,2.0375,0.5125,2.55,1.0,2.0,1.0,1.875,0.21875,2.0,0.0,2.0,2.0,1.0,1.0,2.0,0.0,4.0,4.0,1.625,1.625,0.0,0.0,14.0,14.0,5.25,6.5625,0.0,4.0,19.0,15.0,9.75,6.9375,4.0,0.0,1.0,1.0,0.125,0.21875,0.0,0.0,4.0,4.0,2.0,2.0,4.0,0.0,7.0,7.0,3.375,3.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,3.0,5.5,1.5,4.0,5.64,18.18,12.54,11.8875,6.2475000000000005,5.64,0.0,4.496,4.496,2.248,2.248,4.496,0.0,0.0,0.0,0.0,0.0,0.0,194.0,229.0,35.0,211.5,17.5,194.0
33,C1Mo0.05Nb0.95,4.4945,12.1,Mo Nb C,C1 Mo0.05 Nb0.95,6.0,42.0,36.0,23.525,17.525,6.0,47.0,77.0,30.0,62.075,14.925,77.0,12.0107,95.96,83.9493,52.5348805,40.5241805,12.0107,2750.0,3823.0,1073.0,3290.15,532.8499999999999,3823.0,5.0,14.0,9.0,9.525,4.475,14.0,2.0,5.0,3.0,3.5,1.5,2.0,76.0,164.0,88.0,119.75,43.75,76.0,1.6,2.55,0.9499999999999997,2.089,0.46454999999999985,2.55,1.0,2.0,1.0,1.5,0.5,2.0,0.0,2.0,2.0,1.0,1.0,2.0,0.0,5.0,5.0,2.025,2.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,2.0,4.525,0.525,4.0,0.0,1.0,1.0,0.5,0.5,0.0,0.0,4.0,4.0,2.0,2.0,4.0,0.0,6.0,6.0,2.9749999999999996,2.9749999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,3.0,5.475,1.475,4.0,5.64,18.18,12.54,11.847749999999998,6.20775,5.64,0.0,4.496,4.496,2.248,2.248,4.496,0.0,0.0,0.0,0.0,0.0,0.0,194.0,229.0,35.0,211.5,17.5,194.0
34,C1Mo0.15Nb0.85,4.4835,12.7,Mo Nb C,C1 Mo0.15 Nb0.85,6.0,42.0,36.0,23.575000000000003,17.575,6.0,47.0,77.0,30.0,62.224999999999994,14.774999999999999,77.0,12.0107,95.96,83.9493,52.6875615,40.6768615,12.0107,2750.0,3823.0,1073.0,3297.45,525.55,3823.0,5.0,14.0,9.0,9.575,4.425,14.0,2.0,5.0,3.0,3.5,1.5,2.0,76.0,164.0,88.0,119.25,43.25,76.0,1.6,2.55,0.9499999999999997,2.117,0.4394499999999999,2.55,1.0,2.0,1.0,1.5,0.5,2.0,0.0,2.0,2.0,1.0,1.0,2.0,0.0,5.0,5.0,2.075,2.0749999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,2.0,4.575,0.575,4.0,0.0,1.0,1.0,0.5,0.5,0.0,0.0,4.0,4.0,2.0,2.0,4.0,0.0,6.0,6.0,2.925,2.925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,3.0,5.425000000000001,1.425,4.0,5.64,18.18,12.54,11.72325,6.08325,5.64,0.0,4.496,4.496,2.248,2.248,4.496,0.0,0.0,0.0,0.0,0.0,0.0,194.0,229.0,35.0,211.5,17.5,194.0
35,C1Mo0.29Nb0.71,4.4681,13.45,Mo Nb C,C1 Mo0.29 Nb0.71,6.0,42.0,36.0,23.645,17.645,6.0,47.0,77.0,30.0,62.435,14.565,77.0,12.0107,95.96,83.9493,52.90131489999999,40.890614899999996,12.0107,2750.0,3823.0,1073.0,3307.67,515.33,3823.0,5.0,14.0,9.0,9.645,4.355,14.0,2.0,5.0,3.0,3.5,1.5,2.0,76.0,164.0,88.0,118.55,42.55,76.0,1.6,2.55,0.9499999999999997,2.1561999999999997,0.394902,2.55,1.0,2.0,1.0,1.5,0.5,2.0,0.0,2.0,2.0,1.0,1.0,2.0,0.0,5.0,5.0,2.145,2.145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,2.0,4.645,0.645,4.0,0.0,1.0,1.0,0.5,0.5,0.0,0.0,4.0,4.0,2.0,2.0,4.0,0.0,6.0,6.0,2.855,2.855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,3.0,5.355,1.355,4.0,5.64,18.18,12.54,11.54895,5.90895,5.64,0.0,4.496,4.496,2.248,2.248,4.496,0.0,0.0,0.0,0.0,0.0,0.0,194.0,229.0,35.0,211.5,17.5,194.0
36,C1Mo0.49Nb0.51,4.4461,12.22,Mo Nb C,C1 Mo0.49 Nb0.51,6.0,42.0,36.0,23.744999999999997,17.744999999999997,6.0,47.0,77.0,30.0,62.735,14.265,77.0,12.0107,95.96,83.9493,53.2066769,41.1959769,12.0107,2750.0,3823.0,1073.0,3322.27,500.73,3823.0,5.0,14.0,9.0,9.745000000000001,4.255,14.0,2.0,5.0,3.0,3.5,1.5,2.0,76.0,164.0,88.0,117.54999999999998,41.55,76.0,1.6,2.55,0.9499999999999997,2.2121999999999997,0.3377999999999999,2.55,1.0,2.0,1.0,1.5,0.5,2.0,0.0,2.0,2.0,1.0,1.0,2.0,0.0,5.0,5.0,2.245,2.245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,2.0,4.744999999999999,0.745,4.0,0.0,1.0,1.0,0.5,0.5,0.0,0.0,4.0,4.0,2.0,2.0,4.0,0.0,6.0,6.0,2.755,2.755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,3.0,5.255,1.255,4.0,5.64,18.18,12.54,11.299949999999999,5.65995,5.64,0.0,4.496,4.496,2.248,2.248,4.496,0.0,0.0,0.0,0.0,0.0,0.0,194.0,229.0,35.0,211.5,17.5,194.0
37,C1Mo0.7Nb0.3,4.423,12.1,Mo Nb C,C1 Mo0.7 Nb0.3,6.0,42.0,36.0,23.849999999999998,17.85,6.0,47.0,77.0,30.0,63.05,13.95,77.0,12.0107,95.96,83.9493,53.527307,41.516607,12.0107,2750.0,3823.0,1073.0,3337.6,485.4,3823.0,5.0,14.0,9.0,9.85,4.1499999999999995,14.0,2.0,5.0,3.0,3.5,1.5,2.0,76.0,164.0,88.0,116.5,40.5,76.0,1.6,2.55,0.9499999999999997,2.271,0.27899999999999986,2.55,1.0,2.0,1.0,1.5,0.5,2.0,0.0,2.0,2.0,1.0,1.0,2.0,0.0,5.0,5.0,2.35,2.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,2.0,4.85,0.85,4.0,0.0,1.0,1.0,0.5,0.5,0.0,0.0,4.0,4.0,2.0,2.0,4.0,0.0,6.0,6.0,2.65,2.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,3.0,5.1499999999999995,1.15,4.0,5.64,18.18,12.54,11.038499999999999,5.3985,5.64,0.0,4.496,4.496,2.248,2.248,4.496,0.0,0.0,0.0,0.0,0.0,0.0,194.0,229.0,35.0,211.49999999999997,17.5,194.0
38,C1Mo0.85Nb0.15,4.4065,12.0,Mo Nb C,C1 Mo0.85 Nb0.15,6.0,42.0,36.0,23.924999999999997,17.925,6.0,47.0,77.0,30.0,63.275,13.725,77.0,12.0107,95.96,83.9493,53.756328499999995,41.7456285,12.0107,2750.0,3823.0,1073.0,3348.55,474.45,3823.0,5.0,14.0,9.0,9.925,4.075,14.0,2.0,5.0,3.0,3.5,1.5,2.0,76.0,164.0,88.0,115.75,39.74999999999999,76.0,1.6,2.55,0.9499999999999997,2.313,0.23699999999999982,2.55,1.0,2.0,1.0,1.5,0.5,2.0,0.0,2.0,2.0,1.0,1.0,2.0,0.0,5.0,5.0,2.425,2.425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,2.0,4.925,0.925,4.0,0.0,1.0,1.0,0.5,0.5,0.0,0.0,4.0,4.0,2.0,2.0,4.0,0.0,6.0,6.0,2.575,2.575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,3.0,5.075,1.075,4.0,5.64,18.18,12.54,10.85175,5.21175,5.64,0.0,4.496,4.496,2.248,2.248,4.496,0.0,0.0,0.0,0.0,0.0,0.0,194.0,229.0,35.0,211.5,17.5,194.0
39,Hf0.05Nb0.95N1,4.445,14.12916,Hf Nb N,Hf0.05 Nb0.95 N1,7.0,72.0,65.0,24.775,17.775,7.0,45.0,82.0,37.0,64.45,17.549999999999997,82.0,14.0067,178.49,164.4833,55.596130499999994,41.5894305,14.0067,63.05,2750.0,2686.95,1400.4250000000002,1337.375,63.05,4.0,15.0,11.0,9.975,5.025,15.0,2.0,6.0,4.0,3.525,1.525,2.0,71.0,175.0,104.0,117.77499999999999,46.775,71.0,1.3,3.04,1.74,2.3125,0.7275,3.04,1.0,2.0,1.0,1.525,0.49875,2.0,0.0,3.0,3.0,1.5,1.5,3.0,0.0,4.0,4.0,1.95,1.9499999999999997,0.0,0.0,14.0,14.0,0.35000000000000003,0.6825000000000001,0.0,5.0,18.0,13.0,5.325,0.6337500000000001,5.0,0.0,1.0,1.0,0.475,0.49874999999999997,0.0,0.0,3.0,3.0,1.5,1.5,3.0,0.0,8.0,8.0,3.05,3.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,8.0,5.0,5.025,2.025,3.0,14.76875,22.2,7.431249999999999,16.574875,1.8061249999999993,14.76875,0.0,6.437,6.437,3.2185,3.2185,6.437,0.0,0.0,0.0,0.0,0.0,0.0,194.0,229.0,35.0,210.625,17.45625,194.0
40,Hf0.07Nb0.93N1,4.447,13.78118,Hf Nb N,Hf0.07 Nb0.93 N1,7.0,72.0,65.0,25.085,18.085,7.0,45.0,82.0,37.0,64.43,17.57,82.0,14.0067,178.49,164.4833,56.4519667,42.445266700000005,14.0067,63.05,2750.0,2686.95,1397.9850000000001,1334.935,63.05,4.0,15.0,11.0,9.965,5.035,15.0,2.0,6.0,4.0,3.535,1.5350000000000001,2.0,71.0,175.0,104.0,117.885,46.885000000000005,71.0,1.3,3.04,1.74,2.3095,0.7304999999999999,3.04,1.0,2.0,1.0,1.5350000000000001,0.49755,2.0,0.0,3.0,3.0,1.5,1.5,3.0,0.0,4.0,4.0,1.9300000000000002,1.9300000000000002,0.0,0.0,14.0,14.0,0.49000000000000005,0.9457000000000001,0.0,5.0,18.0,13.0,5.455,0.8781500000000001,5.0,0.0,1.0,1.0,0.465,0.49754999999999994,0.0,0.0,3.0,3.0,1.5,1.5,3.0,0.0,8.0,8.0,3.0700000000000003,3.0700000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,8.0,5.0,5.035,2.035,3.0,14.76875,22.2,7.431249999999999,16.615074999999997,1.8463249999999995,14.76875,0.0,6.437,6.437,3.2185,3.2185,6.437,0.0,0.0,0.0,0.0,0.0,0.0,194.0,229.0,35.0,210.275,17.414250000000003,194.0
41,Hf0.15Nb0.85N1,4.455,12.60988,Hf Nb N,Hf0.15 Nb0.85 N1,7.0,72.0,65.0,26.325,19.325,7.0,45.0,82.0,37.0,64.35,17.65,82.0,14.0067,178.49,164.4833,59.875311499999995,45.8686115,14.0067,63.05,2750.0,2686.95,1388.2250000000001,1325.1750000000002,63.05,4.0,15.0,11.0,9.925,5.074999999999999,15.0,2.0,6.0,4.0,3.575,1.575,2.0,71.0,175.0,104.0,118.325,47.325,71.0,1.3,3.04,1.74,2.2975000000000003,0.7424999999999999,3.04,1.0,2.0,1.0,1.575,0.48875,2.0,0.0,3.0,3.0,1.5,1.5,3.0,0.0,4.0,4.0,1.8499999999999999,1.85,0.0,0.0,14.0,14.0,1.05,1.9425,0.0,5.0,18.0,13.0,5.975,1.8037499999999995,5.0,0.0,1.0,1.0,0.425,0.48875,0.0,0.0,3.0,3.0,1.5,1.5,3.0,0.0,8.0,8.0,3.15,3.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,8.0,5.0,5.075,2.075,3.0,14.76875,22.2,7.431249999999999,16.775875,2.0071249999999994,14.76875,0.0,6.437,6.437,3.2185,3.2185,6.437,0.0,0.0,0.0,0.0,0.0,0.0,194.0,229.0,35.0,208.875,17.10625,194.0
42,Hf0.2Nb0.8N1,4.46,11.91374,Hf Nb N,Hf0.2 Nb0.8 N1,7.0,72.0,65.0,27.1,20.1,7.0,45.0,82.0,37.0,64.3,17.7,82.0,14.0067,178.49,164.4833,62.01490199999999,48.008202,14.0067,63.05,2750.0,2686.95,1382.125,1319.075,63.05,4.0,15.0,11.0,9.9,5.1,15.0,2.0,6.0,4.0,3.6,1.6,2.0,71.0,175.0,104.0,118.60000000000001,47.6,71.0,1.3,3.04,1.74,2.29,0.75,3.04,1.0,2.0,1.0,1.6,0.48,2.0,0.0,3.0,3.0,1.5,1.5,3.0,0.0,4.0,4.0,1.8,1.8000000000000003,0.0,0.0,14.0,14.0,1.4000000000000001,2.52,0.0,5.0,18.0,13.0,6.3,2.34,5.0,0.0,1.0,1.0,0.4,0.48000000000000004,0.0,0.0,3.0,3.0,1.5,1.5,3.0,0.0,8.0,8.0,3.2,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,8.0,5.0,5.1000000000000005,2.1,3.0,14.76875,22.2,7.431249999999999,16.876375000000003,2.1076249999999996,14.76875,0.0,6.437,6.437,3.2185,3.2185,6.437,0.0,0.0,0.0,0.0,0.0,0.0,194.0,229.0,35.0,208.0,16.8,194.0
43,Hf0.32Nb0.68N1,4.472,10.30045,Hf Nb N,Hf0.32 Nb0.68 N1,7.0,72.0,65.0,28.96,21.96,7.0,45.0,82.0,37.0,64.18,17.82,82.0,14.0067,178.49,164.4833,67.1499192,53.143219200000004,14.0067,63.05,2750.0,2686.95,1367.4850000000001,1304.435,63.05,4.0,15.0,11.0,9.84,5.16,15.0,2.0,6.0,4.0,3.66,1.6600000000000001,2.0,71.0,175.0,104.0,119.26,48.260000000000005,71.0,1.3,3.04,1.74,2.2720000000000002,0.768,3.04,1.0,2.0,1.0,1.6600000000000001,0.4488,2.0,0.0,3.0,3.0,1.5,1.5,3.0,0.0,4.0,4.0,1.6800000000000002,1.6800000000000002,0.0,0.0,14.0,14.0,2.24,3.7632000000000003,0.0,5.0,18.0,13.0,7.08,3.4944,5.0,0.0,1.0,1.0,0.34,0.4488,0.0,0.0,3.0,3.0,1.5,1.5,3.0,0.0,8.0,8.0,3.3200000000000003,3.3200000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,8.0,5.0,5.16,2.16,3.0,14.76875,22.2,7.431249999999999,17.117575000000002,2.3488249999999997,14.76875,0.0,6.437,6.437,3.2185,3.2185000000000006,6.437,0.0,0.0,0.0,0.0,0.0,0.0,194.0,229.0,35.0,205.9,15.708000000000002,194.0
44,Hf0.33Nb0.67N1,4.473,10.2,Hf Nb N,Hf0.33 Nb0.67 N1,7.0,72.0,65.0,29.115000000000002,22.115000000000002,7.0,45.0,82.0,37.0,64.17,17.83,82.0,14.0067,178.49,164.4833,67.5778373,53.571137300000004,14.0067,63.05,2750.0,2686.95,1366.265,1303.2150000000001,63.05,4.0,15.0,11.0,9.835,5.165,15.0,2.0,6.0,4.0,3.665,1.665,2.0,71.0,175.0,104.0,119.315,48.315,71.0,1.3,3.04,1.74,2.2705,0.7695000000000001,3.04,1.0,2.0,1.0,1.665,0.44555,2.0,0.0,3.0,3.0,1.5,1.5,3.0,0.0,4.0,4.0,1.6700000000000002,1.6700000000000002,0.0,0.0,14.0,14.0,2.31,3.8577000000000004,0.0,5.0,18.0,13.0,7.1450000000000005,3.582150000000001,5.0,0.0,1.0,1.0,0.335,0.44555,0.0,0.0,3.0,3.0,1.5,1.5,3.0,0.0,8.0,8.0,3.33,3.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,8.0,5.0,5.165,2.165,3.0,14.76875,22.2,7.431249999999999,17.137675,2.3689249999999995,14.76875,0.0,6.437,6.437,3.2185,3.2185000000000006,6.437,0.0,0.0,0.0,0.0,0.0,0.0,194.0,229.0,35.0,205.725,15.594249999999999,194.0
45,Hf0.49Nb0.51N1,4.489,7.609694,Hf Nb N,Hf0.49 Nb0.51 N1,7.0,72.0,65.0,31.595,24.595,7.0,45.0,82.0,37.0,64.00999999999999,17.990000000000002,82.0,14.0067,178.49,164.4833,74.4245269,60.417826899999994,14.0067,63.05,2750.0,2686.95,1346.7450000000001,1283.6950000000002,63.05,4.0,15.0,11.0,9.754999999999999,5.245,15.0,2.0,6.0,4.0,3.745,1.745,2.0,71.0,175.0,104.0,120.195,49.195,71.0,1.3,3.04,1.74,2.2465,0.7935,3.04,1.0,2.0,1.0,1.745,0.37994999999999995,2.0,0.0,3.0,3.0,1.5,1.5,3.0,0.0,4.0,4.0,1.51,1.51,0.0,0.0,14.0,14.0,3.4299999999999997,5.1793,0.0,5.0,18.0,13.0,8.185,4.80935,5.0,0.0,1.0,1.0,0.255,0.37995,0.0,0.0,3.0,3.0,1.5,1.5,3.0,0.0,8.0,8.0,3.49,3.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,8.0,5.0,5.245,2.245,3.0,14.76875,22.2,7.431249999999999,17.459274999999998,2.690524999999999,14.76875,0.0,6.437,6.437,3.2185,3.2185,6.437,0.0,0.0,0.0,0.0,0.0,0.0,194.0,229.0,35.0,202.925,13.298250000000007,194.0
46,Hf0.64Nb0.36N1,4.504,6.219671,Hf Nb N,Hf0.64 Nb0.36 N1,7.0,72.0,65.0,33.92,26.92,7.0,45.0,82.0,37.0,63.86,18.14,82.0,14.0067,178.49,164.4833,80.8432984,66.83659840000001,14.0067,63.05,2750.0,2686.95,1328.4450000000002,1265.395,63.05,4.0,15.0,11.0,9.68,5.32,15.0,2.0,6.0,4.0,3.82,1.82,2.0,71.0,175.0,104.0,121.02,50.019999999999996,71.0,1.3,3.04,1.74,2.224,0.8160000000000001,3.04,1.0,2.0,1.0,1.82,0.29519999999999996,2.0,0.0,3.0,3.0,1.5,1.5,3.0,0.0,4.0,4.0,1.3599999999999999,1.3599999999999999,0.0,0.0,14.0,14.0,4.48,6.0928,0.0,5.0,18.0,13.0,9.16,5.6576,5.0,0.0,1.0,1.0,0.18,0.2952,0.0,0.0,3.0,3.0,1.5,1.5,3.0,0.0,8.0,8.0,3.64,3.6399999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,8.0,5.0,5.32,2.3200000000000003,3.0,14.76875,22.2,7.431249999999999,17.760775000000002,2.992024999999999,14.76875,0.0,6.437,6.437,3.2185,3.2185000000000006,6.437,0.0,0.0,0.0,0.0,0.0,0.0,194.0,229.0,35.0,200.3,10.332000000000008,194.0
47,Hf0.65Nb0.35N1,4.505,6.05,Hf Nb N,Hf0.65 Nb0.35 N1,7.0,72.0,65.0,34.075,27.075,7.0,45.0,82.0,37.0,63.85,18.15,82.0,14.0067,178.49,164.4833,81.2712165,67.26451650000001,14.0067,63.05,2750.0,2686.95,1327.2250000000001,1264.175,63.05,4.0,15.0,11.0,9.675,5.325,15.0,2.0,6.0,4.0,3.825,1.825,2.0,71.0,175.0,104.0,121.075,50.075,71.0,1.3,3.04,1.74,2.2225,0.8175,3.04,1.0,2.0,1.0,1.825,0.28875,2.0,0.0,3.0,3.0,1.5,1.5,3.0,0.0,4.0,4.0,1.35,1.35,0.0,0.0,14.0,14.0,4.55,6.1425,0.0,5.0,18.0,13.0,9.225000000000001,5.703750000000001,5.0,0.0,1.0,1.0,0.175,0.28874999999999995,0.0,0.0,3.0,3.0,1.5,1.5,3.0,0.0,8.0,8.0,3.65,3.6499999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,8.0,5.0,5.325,2.325,3.0,14.76875,22.2,7.431249999999999,17.780875,3.0121249999999993,14.76875,0.0,6.437,6.437,3.2185,3.2184999999999997,6.437,0.0,0.0,0.0,0.0,0.0,0.0,194.0,229.0,35.0,200.125,10.10625,194.0
