num,compound,Tc,a,elements,1,2,perc_1_in_2
EXT,Nb0.2C0.2V0.8N0.8,6.912703258,4.292,Nb C V N,NbC,VN,0.2
EXT,Nb0.3C0.3V0.7N0.7,4.639236362,4.318,Nb C V N,NbC,VN,0.3
EXT,Nb0.4C0.4V0.6N0.6,3.252566735,4.344,Nb C V N,NbC,VN,0.4
EXT,Nb0.5C0.5V0.5N0.5,2.146711804,4.37,Nb C V N,NbC,VN,0.5
EXT,Zr0.04C0.04Nb0.96N0.96,16.26316022,4.4512,Nb Zr C N,ZrC,NbN,0.04
EXT,Zr0.11C0.11Nb0.89N0.89,15.58707572,4.4708,Nb Zr C N,ZrC,NbN,0.11
EXT,Zr0.3C0.3Nb0.7N0.7,14.26795243,4.524,Nb Zr C N,ZrC,NbN,0.3
EXT,Ta0.1C0.1V0.9N0.9,7.413108386,4.267,Ta V C N,TaC,VN,0.1
EXT,Ta0.2C0.2V0.8N0.8,4.555902103,4.294,Ta V C N,TaC,VN,0.2
EXT,Ta0.8C0.8V0.2N0.2,2.526710694,4.456,Ta V C N,TaC,VN,0.8
EXT,Ti0.09C0.09V0.91N0.91,8.581031134,4.2553,Ti V C N,TiC,VN,0.09
EXT,Ti0.19C0.19V0.81N0.81,6.112792053,4.2723,Ti V C N,TiC,VN,0.19
EXT,Ti0.2C0.2V0.8N0.8,5.939552694,4.274,Ti V C N,TiC,VN,0.2
EXT,Ti0.4C0.4V0.6N0.6,1.868694156,4.308,Ti V C N,TiC,VN,0.4
